name,artist,spotify_id,preview,img,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,acousticness_artist,danceability_artist,energy_artist,instrumentalness_artist,liveness_artist,speechiness_artist,valence_artist,artist_id,genres,genres_str,main_genre,file_path,genre_array2
Lo/Hi,The Black Keys,25YlltWXRb9k7KbrEBRuhJ,https://p.scdn.co/mp3-preview/438a89dc507d840a1d9bfdf81d74e7ab357ada02?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27326ff57bc134aa594b08bf721,0.606,0.679,-7.445,0.0321,0.0151,0.000433,0.0962,0.7070000000000001,0.2794609000000001,0.4993833333333338,0.6900499999999998,0.1065459746666666,0.1788616666666667,0.0555516666666666,0.5144166666666671,7mnBLXK823vNxN3UWB7Gfz,"['alternative rock', 'modern rock', 'rock']","['alternative rock', 'modern rock', 'rock']",rock,../mp3songs/48_genres_11_main_genres/LoHi.mp3,"[0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"Gang Up (with Young Thug, 2 Chainz & Wiz Khalifa feat. PnB Rock)",Young Thug,5PfTI3zrQbZEWcQdycMqJM,https://p.scdn.co/mp3-preview/4e83b0f87ce913bf927cf5ed88c0acae2bc31114?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2737d7076c66e4244d2f8030dbd,0.631,0.732,-4.706,0.203,0.0304,0.0,0.261,0.5489999999999999,0.128869754054054,0.8006756756756758,0.5874256756756754,1.3362702702702708e-05,0.1655135135135136,0.2052006756756757,0.446972972972973,50co4Is1HCEo8bhOyUWKpn,"['gangster rap', 'hip hop', 'rap', 'trap']","['gangster rap', 'hip hop', 'rap', 'trap']",rap,"../mp3songs/48_genres_11_main_genres/Gang Up (with Young Thug, 2 Chainz & Wiz Khalifa feat. PnB Rock).mp3","[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]"
I Remember,Kaskade,62h4GYm6aTqS0dsfJtKYIX,https://p.scdn.co/mp3-preview/36d3fe192233e081cb68c4031c39dbbe036ede7f?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273eb53ec4ded8035b0a18c3a83,0.672,0.5920000000000001,-7.189,0.0311,0.158,0.00346,0.113,0.489,0.0568861904761904,0.6106666666666667,0.7338571428571428,0.188523219047619,0.1701523809523809,0.0699952380952381,0.309,6TQj5BFPooTa08A7pk8AQ1,"['edm', 'electro house', 'progressive house']","['edm', 'electro house', 'progressive house']",dance,../mp3songs/48_genres_11_main_genres/I Remember.mp3,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]"
GIRL,Maren Morris,0pGXe7umwkcCm01Ipoxp0U,https://p.scdn.co/mp3-preview/41e1f8fd180e5bf8e64dd642d3a0e33e70addb92?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273f46b5e01e02ab8247be49978,0.44,0.7929999999999999,-3.95,0.0501,0.0677,0.0,0.0788,0.447,0.1533531428571428,0.5894761904761904,0.7040000000000001,7.714285714285716e-07,0.1945285714285714,0.0457571428571428,0.5548571428571428,6WY7D3jk8zTrHtmkqqo5GI,['contemporary country'],['contemporary country'],country,../mp3songs/48_genres_11_main_genres/GIRL.mp3,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]"
Everybody Dies In Their Nightmares,XXXTENTACION,3GVkPk8mqxz0itaAriG1L7,https://p.scdn.co/mp3-preview/5ba73af0f120ffd16a2081a3ea6b0a502b296c42?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,0.7340000000000001,0.57,-7.066,0.133,0.847,2.14e-05,0.112,0.6890000000000001,0.3990987500000002,0.6987499999999996,0.4714703125,0.0309682473437499,0.1579109375000001,0.1677406249999999,0.4220343750000004,15UsOTVnJzReFVN1VCnxy4,['rap'],['rap'],rap,../mp3songs/48_genres_11_main_genres/Everybody Dies In Their Nightmares.mp3,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
Intro ausm K7 Keller,Cortex_Sound,5Vn30c7SpyvXKfPGbrPjTO,,,0.705,0.875,,0.112,,,,0.181,,,,,,,,4nHmMOpyMZ99ndnkcOBJ7T,['tekkno'],['tekkno'],techno,../mp3songs/tekkno/Intro ausm K7 Keller.mp3,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
Til Kingdom Come,Coldplay,1wQXj5bgxyZQ2XmE2X9s6n,https://p.scdn.co/mp3-preview/3aec6a8158da44b45e08d41c907ee6804d2c3fa6?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2735f86467ff3b8221f3c9039b4,0.607,0.395,-9.593,0.0287,0.61,0.0076799999999999,0.33,0.2739999999999999,0.2180183870967742,0.4424903225806449,0.5930451612903226,0.1301235858064516,0.1825987096774192,0.0354032258064516,0.2340167741935484,4gzpq5DPGxSnKTe4SA8HAU,['pop'],['pop'],pop,../mp3songs/48_genres_11_main_genres/Til Kingdom Come.mp3,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]"
Hold My Hand,Michael Jackson,0pCyoA5o2uxUwIovECCziF,https://p.scdn.co/mp3-preview/6966f67550733f8af9eb05e3e57ab24c21d29cd4?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2733c23198a658bd9313295d243,0.606,0.72,-5.8420000000000005,0.0374,0.191,0.0,0.108,0.381,0.2553004343163538,0.7097158176943704,0.6932241286863278,0.0459846155764075,0.1961648793565684,0.069310455764075,0.6253930294906169,3fMbdgg4jU18AjLCKBhRSm,"['r&b', 'soul']","['r&b', 'soul']",rnb,../mp3songs/48_genres_11_main_genres/Hold My Hand.mp3,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
Collide (feat. Tyga),Justine Skye,0M8MPqaoGgkRjkG9kgZ3n4,https://p.scdn.co/mp3-preview/ad8fa47a2e826d5421a6ff820673145acd422bd9?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273b1e5b8dbbb9c4dcdcbad7f42,0.5710000000000001,0.309,-9.864,0.0565,0.0911,0.0,0.215,0.133,0.518775,0.7502500000000001,0.4395,0.000305,0.1475,0.176275,0.355,0jUQSUOcM7lxVn5eVGTkzQ,['r&b'],['r&b'],rnb,../mp3songs/48_genres_11_main_genres/Collide (feat. Tyga).mp3,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
The Way You Like It,Adema,6adhpSbrhat9S0WEVjf4HP,https://p.scdn.co/mp3-preview/4c4789ceb84c749408bb943185234184424fbeab?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2738231023d8c403e4e62d812f4,0.424,0.936,-4.541,0.147,0.000249,0.0,0.0707,0.7609999999999999,0.0002246666666666,0.4296666666666667,0.9453333333333332,0.0630666666666666,0.078,0.1186,0.4496666666666666,3n4ersmDo55xV4fPSCKpXb,"['alternative metal', 'nu metal']","['alternative metal', 'nu metal']",metal,../mp3songs/48_genres_11_main_genres/The Way You Like It.mp3,"[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
